,island,site,species,trt,plantdt,checkdt,numplant,alive,dead,deer.abundance,pig.abundance,growtime,growtime_st,survival.1,survival.2,propalive
1,guam,ann,carica,fenced,4/10/2010,10/10/2010,14,13,1,low,high,183 days,-0.53944654,13,1,0.92857143
2,guam,ans,carica,fenced,4/10/2010,10/10/2010,14,4,10,low,low,183 days,-0.53944654,4,10,0.28571429
3,guam,nblas,carica,fenced,4/10/2010,10/10/2010,14,1,13,low,low,183 days,-0.53944654,1,13,0.07142857
4,guam,race,carica,fenced,4/10/2010,10/10/2010,14,4,10,high,high,183 days,-0.53944654,4,10,0.28571429
5,guam,racefr,carica,fenced,4/10/2010,10/10/2010,14,14,0,low,low,183 days,-0.53944654,14,0,1
6,guam,ritdgate,carica,fenced,4/10/2010,10/10/2010,14,13,1,high,high,183 days,-0.53944654,13,1,0.92857143
7,guam,ritdgrid,carica,fenced,4/10/2010,10/10/2010,14,11,3,high,high,183 days,-0.53944654,11,3,0.78571429
8,guam,sblas,carica,fenced,4/10/2010,10/10/2010,14,14,0,high,low,183 days,-0.53944654,14,0,1
9,guam,ann,morinda,fenced,6/17/2010,6/30/2011,14,12,2,low,high,378 days,1.29258771,12,2,0.85714286
10,guam,ans,morinda,fenced,6/17/2010,6/30/2011,14,8,6,low,low,378 days,1.29258771,8,6,0.57142857
11,guam,nblas,morinda,fenced,6/17/2010,6/30/2011,14,13,1,low,low,378 days,1.29258771,13,1,0.92857143
12,guam,race,morinda,fenced,6/24/2010,7/1/2011,14,14,0,high,high,372 days,1.23621743,14,0,1
13,guam,racefr,morinda,fenced,6/24/2010,7/1/2011,14,6,8,low,low,372 days,1.23621743,6,8,0.42857143
14,guam,ritdgate,morinda,fenced,11/13/2010,7/1/2011,14,14,0,high,high,230 days,-0.09787931,14,0,1
15,guam,ritdgrid,morinda,fenced,6/17/2010,7/1/2011,14,9,5,high,high,379 days,1.30198276,9,5,0.64285714
16,guam,sblas,morinda,fenced,6/17/2010,6/30/2011,14,14,0,high,low,378 days,1.29258771,14,0,1
17,guam,ann,psychotria,fenced,3/10/2011,6/30/2011,14,12,2,low,high,112 days,-1.20649491,12,2,0.85714286
18,guam,ans,psychotria,fenced,3/10/2011,6/30/2011,14,6,8,low,low,112 days,-1.20649491,6,8,0.42857143
19,guam,nblas,psychotria,fenced,3/9/2011,6/30/2011,14,12,2,low,low,113 days,-1.19709986,12,2,0.85714286
20,guam,race,psychotria,fenced,3/9/2011,7/1/2011,14,14,0,high,high,114 days,-1.18770482,14,0,1
21,guam,racefr,psychotria,fenced,3/11/2011,7/1/2011,14,5,9,low,low,112 days,-1.20649491,5,9,0.35714286
22,guam,ritdgate,psychotria,fenced,3/11/2011,7/1/2011,14,14,0,high,high,112 days,-1.20649491,14,0,1
23,guam,ritdgrid,psychotria,fenced,3/12/2011,7/1/2011,14,13,1,high,high,111 days,-1.21588996,13,1,0.92857143
24,guam,sblas,psychotria,fenced,3/12/2011,6/30/2011,14,11,3,high,low,110 days,-1.22528501,11,3,0.78571429
25,guam,ann,premna,fenced,12/4/2010,6/30/2011,14,0,14,low,high,208 days,-0.30457036,0,14,0
26,guam,ans,premna,fenced,12/4/2010,6/30/2011,14,0,14,low,low,208 days,-0.30457036,0,14,0
27,guam,nblas,premna,fenced,12/7/2010,6/30/2011,14,8,6,low,low,205 days,-0.3327555,8,6,0.57142857
28,guam,race,premna,fenced,12/7/2010,7/1/2011,14,7,7,high,high,206 days,-0.32336045,7,7,0.5
29,guam,racefr,premna,fenced,12/7/2010,7/1/2011,14,0,14,low,low,206 days,-0.32336045,0,14,0
30,guam,ritdgate,premna,fenced,5/15/2010,7/1/2011,14,12,2,high,high,412 days,1.61201932,12,2,0.85714286
31,guam,ritdgrid,premna,fenced,12/8/2010,7/1/2011,14,0,14,high,high,205 days,-0.3327555,0,14,0
32,guam,sblas,premna,fenced,12/7/2010,6/30/2011,14,9,5,high,low,205 days,-0.3327555,9,5,0.64285714
33,guam,ann,neiso,fenced,5/8/2010,6/30/2011,7,7,0,low,high,418 days,1.66838961,7,0,1
34,guam,ans,neiso,fenced,5/11/2010,6/30/2011,7,3,4,low,low,415 days,1.64020447,3,4,0.42857143
35,guam,nblas,neiso,fenced,5/12/2010,6/30/2011,7,7,0,low,low,414 days,1.63080942,7,0,1
36,guam,race,neiso,fenced,5/11/2010,7/1/2011,7,7,0,high,high,416 days,1.64959951,7,0,1
37,guam,racefr,neiso,fenced,5/12/2010,7/1/2011,7,6,1,low,low,415 days,1.64020447,6,1,0.85714286
38,guam,ritdgate,neiso,fenced,6/17/2010,7/1/2011,7,4,3,high,high,379 days,1.30198276,4,3,0.57142857
39,guam,ritdgrid,neiso,fenced,5/16/2010,7/1/2011,7,7,0,high,high,411 days,1.60262428,7,0,1
40,guam,sblas,neiso,fenced,5/14/2010,6/30/2011,7,7,0,high,low,412 days,1.61201932,7,0,1
41,guam,ann,aglaia,fenced,11/11/2010,6/30/2011,14,11,3,low,high,231 days,-0.08848427,11,3,0.78571429
42,guam,ans,aglaia,fenced,11/10/2010,6/30/2011,14,9,5,low,low,232 days,-0.07908922,9,5,0.64285714
43,guam,nblas,aglaia,fenced,11/12/2010,6/30/2011,14,11,3,low,low,230 days,-0.09787931,11,3,0.78571429
44,guam,race,aglaia,fenced,11/12/2010,7/1/2011,14,13,1,high,high,231 days,-0.08848427,13,1,0.92857143
45,guam,racefr,aglaia,fenced,11/11/2010,7/1/2011,14,6,8,low,low,232 days,-0.07908922,6,8,0.42857143
46,guam,ritdgate,aglaia,fenced,12/8/2010,7/1/2011,14,14,0,high,high,205 days,-0.3327555,14,0,1
47,guam,ritdgrid,aglaia,fenced,11/13/2010,7/1/2011,14,12,2,high,high,230 days,-0.09787931,12,2,0.85714286
48,guam,sblas,aglaia,fenced,11/12/2010,6/30/2011,14,10,4,high,low,230 days,-0.09787931,10,4,0.71428571
49,guam,ann,carica,ungulate,4/10/2010,10/10/2010,14,13,1,low,high,183 days,-0.53944654,13,1,0.92857143
50,guam,ans,carica,ungulate,4/10/2010,10/10/2010,14,0,14,low,low,183 days,-0.53944654,0,14,0
51,guam,nblas,carica,ungulate,4/10/2010,10/10/2010,14,0,14,low,low,183 days,-0.53944654,0,14,0
52,guam,race,carica,ungulate,4/10/2010,10/10/2010,14,11,3,high,high,183 days,-0.53944654,11,3,0.78571429
53,guam,racefr,carica,ungulate,4/10/2010,10/10/2010,14,10,4,low,low,183 days,-0.53944654,10,4,0.71428571
54,guam,ritdgate,carica,ungulate,4/10/2010,10/10/2010,14,2,12,high,high,183 days,-0.53944654,2,12,0.14285714
55,guam,ritdgrid,carica,ungulate,4/10/2010,10/10/2010,14,1,13,high,high,183 days,-0.53944654,1,13,0.07142857
56,guam,sblas,carica,ungulate,4/10/2010,10/10/2010,14,0,14,high,low,183 days,-0.53944654,0,14,0
57,guam,ann,morinda,ungulate,6/17/2010,6/30/2011,14,10,4,low,high,378 days,1.29258771,10,4,0.71428571
58,guam,ans,morinda,ungulate,6/17/2010,6/30/2011,14,11,3,low,low,378 days,1.29258771,11,3,0.78571429
59,guam,nblas,morinda,ungulate,6/17/2010,6/30/2011,14,13,1,low,low,378 days,1.29258771,13,1,0.92857143
60,guam,race,morinda,ungulate,6/24/2010,7/1/2011,14,11,3,high,high,372 days,1.23621743,11,3,0.78571429
61,guam,racefr,morinda,ungulate,6/24/2010,7/1/2011,14,11,3,low,low,372 days,1.23621743,11,3,0.78571429
62,guam,ritdgate,morinda,ungulate,11/13/2010,7/1/2011,14,5,9,high,high,230 days,-0.09787931,5,9,0.35714286
63,guam,ritdgrid,morinda,ungulate,6/17/2010,7/1/2011,14,5,9,high,high,379 days,1.30198276,5,9,0.35714286
64,guam,sblas,morinda,ungulate,6/17/2010,6/30/2011,14,2,12,high,low,378 days,1.29258771,2,12,0.14285714
65,guam,ann,psychotria,ungulate,3/10/2011,6/30/2011,14,8,6,low,high,112 days,-1.20649491,8,6,0.57142857
66,guam,ans,psychotria,ungulate,3/10/2011,6/30/2011,14,4,10,low,low,112 days,-1.20649491,4,10,0.28571429
67,guam,nblas,psychotria,ungulate,3/9/2011,6/30/2011,14,5,9,low,low,113 days,-1.19709986,5,9,0.35714286
68,guam,race,psychotria,ungulate,3/9/2011,7/1/2011,14,11,3,high,high,114 days,-1.18770482,11,3,0.78571429
69,guam,racefr,psychotria,ungulate,3/11/2011,7/1/2011,14,4,10,low,low,112 days,-1.20649491,4,10,0.28571429
70,guam,ritdgate,psychotria,ungulate,3/11/2011,7/1/2011,14,11,3,high,high,112 days,-1.20649491,11,3,0.78571429
71,guam,ritdgrid,psychotria,ungulate,3/12/2011,7/1/2011,14,6,8,high,high,111 days,-1.21588996,6,8,0.42857143
72,guam,sblas,psychotria,ungulate,3/12/2011,6/30/2011,14,5,9,high,low,110 days,-1.22528501,5,9,0.35714286
73,guam,ann,premna,ungulate,12/4/2010,6/30/2011,14,0,14,low,high,208 days,-0.30457036,0,14,0
74,guam,ans,premna,ungulate,12/4/2010,6/30/2011,14,0,14,low,low,208 days,-0.30457036,0,14,0
75,guam,nblas,premna,ungulate,12/7/2010,6/30/2011,14,2,12,low,low,205 days,-0.3327555,2,12,0.14285714
76,guam,race,premna,ungulate,12/7/2010,7/1/2011,14,8,6,high,high,206 days,-0.32336045,8,6,0.57142857
77,guam,racefr,premna,ungulate,12/7/2010,7/1/2011,14,0,14,low,low,206 days,-0.32336045,0,14,0
78,guam,ritdgate,premna,ungulate,5/15/2010,7/1/2011,14,3,11,high,high,412 days,1.61201932,3,11,0.21428571
79,guam,ritdgrid,premna,ungulate,12/8/2010,7/1/2011,14,4,10,high,high,205 days,-0.3327555,4,10,0.28571429
80,guam,sblas,premna,ungulate,12/7/2010,6/30/2011,14,1,13,high,low,205 days,-0.3327555,1,13,0.07142857
81,guam,ann,neiso,ungulate,5/8/2010,6/30/2011,7,7,0,low,high,418 days,1.66838961,7,0,1
82,guam,ans,neiso,ungulate,5/11/2010,6/30/2011,7,4,3,low,low,415 days,1.64020447,4,3,0.57142857
83,guam,nblas,neiso,ungulate,5/12/2010,6/30/2011,7,7,0,low,low,414 days,1.63080942,7,0,1
84,guam,race,neiso,ungulate,5/11/2010,7/1/2011,7,7,0,high,high,416 days,1.64959951,7,0,1
85,guam,racefr,neiso,ungulate,5/12/2010,7/1/2011,7,7,0,low,low,415 days,1.64020447,7,0,1
86,guam,ritdgate,neiso,ungulate,6/17/2010,7/1/2011,7,3,4,high,high,379 days,1.30198276,3,4,0.42857143
87,guam,ritdgrid,neiso,ungulate,5/16/2010,7/1/2011,7,5,2,high,high,411 days,1.60262428,5,2,0.71428571
88,guam,sblas,neiso,ungulate,5/14/2010,6/30/2011,7,6,1,high,low,412 days,1.61201932,6,1,0.85714286
89,guam,ann,aglaia,ungulate,11/11/2010,6/30/2011,14,12,2,low,high,231 days,-0.08848427,12,2,0.85714286
90,guam,ans,aglaia,ungulate,11/10/2010,6/30/2011,14,4,10,low,low,232 days,-0.07908922,4,10,0.28571429
91,guam,nblas,aglaia,ungulate,11/12/2010,6/30/2011,14,9,5,low,low,230 days,-0.09787931,9,5,0.64285714
92,guam,race,aglaia,ungulate,11/12/2010,7/1/2011,14,14,0,high,high,231 days,-0.08848427,14,0,1
93,guam,racefr,aglaia,ungulate,11/11/2010,7/1/2011,14,7,7,low,low,232 days,-0.07908922,7,7,0.5
94,guam,ritdgate,aglaia,ungulate,12/8/2010,7/1/2011,14,9,5,high,high,205 days,-0.3327555,9,5,0.64285714
95,guam,ritdgrid,aglaia,ungulate,11/13/2010,7/1/2011,14,13,1,high,high,230 days,-0.09787931,13,1,0.92857143
96,guam,sblas,aglaia,ungulate,11/12/2010,6/30/2011,14,8,6,high,low,230 days,-0.09787931,8,6,0.57142857
