island,site,species,plantdt,trt,numplant,checkdt,alive,dead,propalive
guam,ann,aglaia,11-Nov-10,ungulate,14,30-Jun-11,12,2,0.857142857
guam,ann,morinda,17-Jun-10,ungulate,14,30-Jun-11,10,4,0.714285714
guam,ann,neiso,8-May-10,ungulate,7,30-Jun-11,7,0,1
guam,ann,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0
guam,ann,psychotria,10-Mar-11,ungulate,14,30-Jun-11,8,6,0.571428571
guam,ann,aglaia,11-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286
guam,ann,morinda,17-Jun-10,fenced,14,30-Jun-11,12,2,0.857142857
guam,ann,neiso,8-May-10,fenced,7,30-Jun-11,7,0,1
guam,ann,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0
guam,ann,psychotria,10-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857
guam,ann,carica,10-Apr,ungulate,14,10-Oct,13,1,0.928571429
guam,ann,carica,10-Apr,fenced,14,10-Oct,13,1,0.928571429
guam,ans,aglaia,10-Nov-10,ungulate,14,30-Jun-11,4,10,0.285714286
guam,ans,morinda,17-Jun-10,ungulate,14,30-Jun-11,11,3,0.785714286
guam,ans,neiso,11-May-10,ungulate,7,30-Jun-11,4,3,0.571428571
guam,ans,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0
guam,ans,psychotria,10-Mar-11,ungulate,14,30-Jun-11,4,10,0.285714286
guam,ans,aglaia,10-Nov-10,fenced,14,30-Jun-11,9,5,0.642857143
guam,ans,morinda,17-Jun-10,fenced,14,30-Jun-11,8,6,0.571428571
guam,ans,neiso,11-May-10,fenced,7,30-Jun-11,3,4,0.428571429
guam,ans,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0
guam,ans,psychotria,10-Mar-11,fenced,14,30-Jun-11,6,8,0.428571429
guam,ans,carica,10-Apr,ungulate,14,10-Oct,0,14,0
guam,ans,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286
guam,nblas,aglaia,12-Nov-10,ungulate,14,30-Jun-11,9,5,0.642857143
guam,nblas,morinda,17-Jun-10,ungulate,14,30-Jun-11,13,1,0.928571429
guam,nblas,neiso,12-May-10,ungulate,7,30-Jun-11,7,0,1
guam,nblas,premna,7-Dec-10,ungulate,14,30-Jun-11,2,12,0.142857143
guam,nblas,psychotria,9-Mar-11,ungulate,14,30-Jun-11,5,9,0.357142857
guam,nblas,aglaia,12-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286
guam,nblas,morinda,17-Jun-10,fenced,14,30-Jun-11,13,1,0.928571429
guam,nblas,neiso,12-May-10,fenced,7,30-Jun-11,7,0,1
guam,nblas,premna,7-Dec-10,fenced,14,30-Jun-11,8,6,0.571428571
guam,nblas,psychotria,9-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857
guam,nblas,carica,10-Apr,ungulate,14,10-Oct,0,14,0
guam,nblas,carica,10-Apr,fenced,14,10-Oct,1,13,0.071428571
guam,race,aglaia,12-Nov-10,ungulate,14,1-Jul-11,14,0,1
guam,race,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286
guam,race,neiso,11-May-10,ungulate,7,1-Jul-11,7,0,1
guam,race,premna,7-Dec-10,ungulate,14,1-Jul-11,8,6,0.571428571
guam,race,psychotria,9-Mar-11,ungulate,14,1-Jul-11,11,3,0.785714286
guam,race,aglaia,12-Nov-10,fenced,14,1-Jul-11,13,1,0.928571429
guam,race,morinda,24-Jun-10,fenced,14,1-Jul-11,14,0,1
guam,race,neiso,11-May-10,fenced,7,1-Jul-11,7,0,1
guam,race,premna,7-Dec-10,fenced,14,1-Jul-11,7,7,0.5
guam,race,psychotria,9-Mar-11,fenced,14,1-Jul-11,14,0,1
guam,race,carica,10-Apr,ungulate,14,10-Oct,11,3,0.785714286
guam,race,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286
guam,racefr,aglaia,11-Nov-10,ungulate,14,1-Jul-11,7,7,0.5
guam,racefr,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286
guam,racefr,neiso,12-May-10,ungulate,7,1-Jul-11,7,0,1
guam,racefr,premna,7-Dec-10,ungulate,14,1-Jul-11,0,14,0
guam,racefr,psychotria,11-Mar-11,ungulate,14,1-Jul-11,4,10,0.285714286
guam,racefr,aglaia,11-Nov-10,fenced,14,1-Jul-11,6,8,0.428571429
guam,racefr,morinda,24-Jun-10,fenced,14,1-Jul-11,6,8,0.428571429
guam,racefr,neiso,12-May-10,fenced,7,1-Jul-11,6,1,0.857142857
guam,racefr,premna,7-Dec-10,fenced,14,1-Jul-11,0,14,0
guam,racefr,psychotria,11-Mar-11,fenced,14,1-Jul-11,5,9,0.357142857
guam,racefr,carica,10-Apr,ungulate,14,10-Oct,10,4,0.714285714
guam,racefr,carica,10-Apr,fenced,14,10-Oct,14,0,1
guam,ritdgate,aglaia,8-Dec-10,ungulate,14,1-Jul-11,9,5,0.642857143
guam,ritdgate,morinda,13-Nov-10,ungulate,14,1-Jul-11,5,9,0.357142857
guam,ritdgate,neiso,17-Jun-10,ungulate,7,1-Jul-11,3,4,0.428571429
guam,ritdgate,premna,15-May-10,ungulate,14,1-Jul-11,3,11,0.214285714
guam,ritdgate,psychotria,11-Mar-11,ungulate,14,1-Jul-11,11,3,0.785714286
guam,ritdgate,aglaia,8-Dec-10,fenced,14,1-Jul-11,14,0,1
guam,ritdgate,morinda,13-Nov-10,fenced,14,1-Jul-11,14,0,1
guam,ritdgate,neiso,17-Jun-10,fenced,7,1-Jul-11,4,3,0.571428571
guam,ritdgate,premna,15-May-10,fenced,14,1-Jul-11,12,2,0.857142857
guam,ritdgate,psychotria,11-Mar-11,fenced,14,1-Jul-11,14,0,1
guam,ritdgate,carica,10-Apr,ungulate,14,10-Oct,2,12,0.142857143
guam,ritdgate,carica,10-Apr,fenced,14,10-Oct,13,1,0.928571429
guam,ritdgrid,aglaia,13-Nov-10,ungulate,14,1-Jul-11,13,1,0.928571429
guam,ritdgrid,morinda,17-Jun-10,ungulate,14,1-Jul-11,5,9,0.357142857
guam,ritdgrid,neiso,16-May-10,ungulate,7,1-Jul-11,5,2,0.714285714
guam,ritdgrid,premna,8-Dec-10,ungulate,14,1-Jul-11,4,10,0.285714286
guam,ritdgrid,psychotria,12-Mar-11,ungulate,14,1-Jul-11,6,8,0.428571429
guam,ritdgrid,aglaia,13-Nov-10,fenced,14,1-Jul-11,12,2,0.857142857
guam,ritdgrid,morinda,17-Jun-10,fenced,14,1-Jul-11,9,5,0.642857143
guam,ritdgrid,neiso,16-May-10,fenced,7,1-Jul-11,7,0,1
guam,ritdgrid,premna,8-Dec-10,fenced,14,1-Jul-11,0,14,0
guam,ritdgrid,psychotria,12-Mar-11,fenced,14,1-Jul-11,13,1,0.928571429
guam,ritdgrid,carica,10-Apr,ungulate,14,10-Oct,1,13,0.071428571
guam,ritdgrid,carica,10-Apr,fenced,14,10-Oct,11,3,0.785714286
guam,sblas,aglaia,12-Nov-10,ungulate,14,30-Jun-11,8,6,0.571428571
guam,sblas,morinda,17-Jun-10,ungulate,14,30-Jun-11,2,12,0.142857143
guam,sblas,neiso,14-May-10,ungulate,7,30-Jun-11,6,1,0.857142857
guam,sblas,premna,7-Dec-10,ungulate,14,30-Jun-11,1,13,0.071428571
guam,sblas,psychotria,12-Mar-11,ungulate,14,30-Jun-11,5,9,0.357142857
guam,sblas,aglaia,12-Nov-10,fenced,14,30-Jun-11,10,4,0.714285714
guam,sblas,morinda,17-Jun-10,fenced,14,30-Jun-11,14,0,1
guam,sblas,neiso,14-May-10,fenced,7,30-Jun-11,7,0,1
guam,sblas,premna,7-Dec-10,fenced,14,30-Jun-11,9,5,0.642857143
guam,sblas,psychotria,12-Mar-11,fenced,14,30-Jun-11,11,3,0.785714286
guam,sblas,carica,10-Apr,ungulate,14,10-Oct,0,14,0
guam,sblas,carica,10-Apr,fenced,14,10-Oct,14,0,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
